 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2021
"Município";"Nascim_p/resid.mãe"
"312660 FRANCISCO DUMONT";45
"312670 FRANCISCO SA";239
"312675 FRANCISCOPOLIS";53
"312680 FREI GASPAR";87
"312690 FREI INOCENCIO";103
"312695 FREI LAGONEGRO";36
"312700 FRONTEIRA";118
"312705 FRONTEIRA DOS VALES";56
"312707 FRUTA DE LEITE";54
"312710 FRUTAL";689
"312720 FUNILANDIA";43
"312730 GALILEIA";83
"312733 GAMELEIRAS";54
"312735 GLAUCILANDIA";27
"312737 GOIABEIRA";39
"312738 GOIANA";20
"312740 GONCALVES";45
"312750 GONZAGA";65
"312760 GOUVEIA";141
"312770 GOVERNADOR VALADARES";3477
"312780 GRAO MOGOL";148
"312790 GRUPIARA";16
"312800 GUANHAES";416
"312810 GUAPE";116
"312820 GUARACIABA";65
"312825 GUARACIAMA";45
"312830 GUARANESIA";250
"312840 GUARANI";78
"312850 GUARARA";45
"312860 GUARDA-MOR";72
"312870 GUAXUPE";529
"312880 GUIDOVAL";92
"312890 GUIMARANIA";114
"312900 GUIRICEMA";67
"312910 GURINHATA";25
"312920 HELIODORA";67
"312930 IAPU";136
"312940 IBERTIOGA";54
"312950 IBIA";245
"312960 IBIAI";96
"312965 IBIRACATU";62
"312970 IBIRACI";129
"312980 IBIRITE";2311
"312990 IBITIURA DE MINAS";32
"313000 IBITURUNA";17
"313005 ICARAI DE MINAS";120
"313010 IGARAPE";629
"313020 IGARATINGA";154
"313030 IGUATAMA";62
"313040 IJACI";77
"313050 ILICINEA";137
"313055 IMBE DE MINAS";84
"313060 INCONFIDENTES";77
"313065 INDAIABIRA";65
"313070 INDIANOPOLIS";56
"313080 INGAI";22
"313090 INHAPIM";255
"313100 INHAUMA";72
"313110 INIMUTABA";65
"313115 IPABA";247
"313120 IPANEMA";228
"313130 IPATINGA";2900
"313140 IPIACU";42
"313150 IPUIUNA";96
"313160 IRAI DE MINAS";82
"313170 ITABIRA";1279
"313180 ITABIRINHA";160
"313190 ITABIRITO";743
"313200 ITACAMBIRA";40
"313210 ITACARAMBI";259
"313220 ITAGUARA";170
"313230 ITAIPE";207
"313240 ITAJUBA";1089
"313250 ITAMARANDIBA";447
"313260 ITAMARATI DE MINAS";38
"313270 ITAMBACURI";308
"313280 ITAMBE DO MATO DENTRO";19
"313290 ITAMOGI";106
"313300 ITAMONTE";183
"313310 ITANHANDU";178
"313320 ITANHOMI";144
"313330 ITAOBIM";249
"313340 ITAPAGIPE";94
"313350 ITAPECERICA";179
"313360 ITAPEVA";126
"313370 ITATIAIUCU";126
"313375 ITAU DE MINAS";151
"313380 ITAUNA";1023
"313390 ITAVERAVA";49
"313400 ITINGA";141
"313410 ITUETA";84
"313420 ITUIUTABA";1034
"313430 ITUMIRIM";68
"313440 ITURAMA";497
"313450 ITUTINGA";51
"313460 JABOTICATUBAS";210
"313470 JACINTO";125
"313480 JACUI";84
"313490 JACUTINGA";298
"313500 JAGUARACU";23
"313505 JAIBA";580
"313507 JAMPRUCA";54
"313510 JANAUBA";1044
"313520 JANUARIA";960
"313530 JAPARAIBA";60
"313535 JAPONVAR";92
"313540 JECEABA";54
"313545 JENIPAPO DE MINAS";61
"313550 JEQUERI";127
"313560 JEQUITAI";65
"313570 JEQUITIBA";59
"313580 JEQUITINHONHA";255
"313590 JESUANIA";55
"313600 JOAIMA";199
"313610 JOANESIA";34
"313620 JOAO MONLEVADE";886
"313630 JOAO PINHEIRO";694
"313640 JOAQUIM FELICIO";40
"313650 JORDANIA";103
"313652 JOSE GONCALVES DE MINAS";33
"313655 JOSE RAYDAN";58
"313657 JOSENOPOLIS";54
"313660 NOVA UNIAO";73
"313665 JUATUBA";357
"313670 JUIZ DE FORA";5653
"313680 JURAMENTO";43
"313690 JURUAIA";118
"313695 JUVENILIA";79
"313700 LADAINHA";163
"313710 LAGAMAR";52
"313720 LAGOA DA PRATA";623
"313730 LAGOA DOS PATOS";43
"313740 LAGOA DOURADA";143
"313750 LAGOA FORMOSA";195
"313753 LAGOA GRANDE";91
"313760 LAGOA SANTA";817
"313770 LAJINHA";310
"313780 LAMBARI";223
"313790 LAMIM";21
"313800 LARANJAL";43
"313810 LASSANCE";97
"313820 LAVRAS";1309
"313830 LEANDRO FERREIRA";34
"313835 LEME DO PRADO";52
"313840 LEOPOLDINA";527
"313850 LIBERDADE";40
"313860 LIMA DUARTE";169
"313862 LIMEIRA DO OESTE";95
"313865 LONTRA";101
"313867 LUISBURGO";112
"313868 LUISLANDIA";78
"313870 LUMINARIAS";48
"313880 LUZ";202
"313890 MACHACALIS";75
"313900 MACHADO";401
"313910 MADRE DE DEUS DE MINAS";61
"313920 MALACACHETA";196
"313925 MAMONAS";46
"313930 MANGA";304
"313940 MANHUACU";1356
"313950 MANHUMIRIM";255
"313960 MANTENA";355
"313970 MARAVILHAS";79
"313980 MAR DE ESPANHA";153
"313990 MARIA DA FE";149
"314000 MARIANA";864
"314010 MARILAC";54
"314015 MARIO CAMPOS";208
"314020 MARIPA DE MINAS";37
"314030 MARLIERIA";46
"314040 MARMELOPOLIS";28
"314050 MARTINHO CAMPOS";133
"314053 MARTINS SOARES";161
"314055 MATA VERDE";98
"314060 MATERLANDIA";54
"314070 MATEUS LEME";458
"314080 MATIAS BARBOSA";135
"314085 MATIAS CARDOSO";142
"314090 MATIPO";263
"314100 MATO VERDE";149
"314110 MATOZINHOS";443
"314120 MATUTINA";28
"314130 MEDEIROS";41
"314140 MEDINA";287
"314150 MENDES PIMENTEL";59
"314160 MERCES";89
"314170 MESQUITA";52
"314180 MINAS NOVAS";278
"314190 MINDURI";36
"314200 MIRABELA";150
"314210 MIRADOURO";80
"314220 MIRAI";141
"314225 MIRAVANIA";50
"314230 MOEDA";73
"314240 MOEMA";100
"314250 MONJOLOS";17
"314260 MONSENHOR PAULO";88
"314270 MONTALVANIA";196
"314280 MONTE ALEGRE DE MINAS";229
"314290 MONTE AZUL";200
"314300 MONTE BELO";115
"314310 MONTE CARMELO";504
"314315 MONTE FORMOSO";64
"314320 MONTE SANTO DE MINAS";234
"314330 MONTES CLAROS";5850
"314340 MONTE SIAO";163
"314345 MONTEZUMA";102
"314350 MORADA NOVA DE MINAS";105
"314360 MORRO DA GARCA";24
"314370 MORRO DO PILAR";25
"314380 MUNHOZ";68
"314390 MURIAE";1293
"314400 MUTUM";324
"314410 MUZAMBINHO";241
"314420 NACIP RAYDAN";18
"314430 NANUQUE";463
"314435 NAQUE";123
"314437 NATALANDIA";41
"314440 NATERCIA";34
"314450 NAZARENO";71
"314460 NEPOMUCENO";240
"314465 NINHEIRA";120
"314467 NOVA BELEM";40
"314470 NOVA ERA";197
"314480 NOVA LIMA";1334
"314490 NOVA MODICA";43
"314500 NOVA PONTE";171
"314505 NOVA PORTEIRINHA";109
"314510 NOVA RESENDE";231
"314520 NOVA SERRANA";1712
"314530 NOVO CRUZEIRO";368
"314535 NOVO ORIENTE DE MINAS";141
"314537 NOVORIZONTE";67
"314540 OLARIA";23
"314545 OLHOS-D'AGUA";56
"314550 OLIMPIO NORONHA";32
"314560 OLIVEIRA";379
"314570 OLIVEIRA FORTES";18
"314580 ONCA DE PITANGUI";20
"314585 ORATORIOS";54
"314587 ORIZANIA";119
"314590 OURO BRANCO";478
"314600 OURO FINO";334
"314610 OURO PRETO";809
"314620 OURO VERDE DE MINAS";101
"314625 PADRE CARVALHO";64
"314630 PADRE PARAISO";240
"314640 PAINEIRAS";21
"314650 PAINS";91
"314655 PAI PEDRO";71
"314660 PAIVA";14
"314670 PALMA";63
"314675 PALMOPOLIS";63
"314690 PAPAGAIOS";174
"314700 PARACATU";1301
"314710 PARA DE MINAS";1148
"314720 PARAGUACU";248
"314730 PARAISOPOLIS";208
"314740 PARAOPEBA";297
"314750 PASSABEM";12
"314760 PASSA QUATRO";164
"314770 PASSA TEMPO";45
"314780 PASSA-VINTE";17
"314790 PASSOS";1337
"314795 PATIS";46
"314800 PATOS DE MINAS";1712
"314810 PATROCINIO";1157
"314820 PATROCINIO DO MURIAE";58
"314830 PAULA CANDIDO";77
"314840 PAULISTAS";45
"314850 PAVAO";83
"314860 PECANHA";224
"314870 PEDRA AZUL";270
"314875 PEDRA BONITA";109
"314880 PEDRA DO ANTA";32
"314890 PEDRA DO INDAIA";31
"314900 PEDRA DOURADA";33
"314910 PEDRALVA";102
"314915 PEDRAS DE MARIA DA CRUZ";107
"314920 PEDRINOPOLIS";22
"314930 PEDRO LEOPOLDO";713
"314940 PEDRO TEIXEIRA";15
"314950 PEQUERI";27
"314960 PEQUI";41
"314970 PERDIGAO";173
"314980 PERDIZES";219
"314990 PERDOES";190
"314995 PERIQUITO";96
"315000 PESCADOR";39
"315010 PIAU";20
"315015 PIEDADE DE CARATINGA";167
"315020 PIEDADE DE PONTE NOVA";51
"315030 PIEDADE DO RIO GRANDE";44
"315040 PIEDADE DOS GERAIS";48
"315050 PIMENTA";75
"315053 PINGO-D'AGUA";54
"315057 PINTOPOLIS";97
"315060 PIRACEMA";58
"315070 PIRAJUBA";80
"315080 PIRANGA";143
"315090 PIRANGUCU";56
"315100 PIRANGUINHO";119
"315110 PIRAPETINGA";140
"315120 PIRAPORA";721
"315130 PIRAUBA";116
"315140 PITANGUI";318
"315150 PIUMHI";380
"315160 PLANURA";125
"315170 POCO FUNDO";139
"315180 POCOS DE CALDAS";1765
"315190 POCRANE";106
"315200 POMPEU";414
"315210 PONTE NOVA";712
"315213 PONTO CHIQUE";66
"315217 PONTO DOS VOLANTES";148
"315220 PORTEIRINHA";454
"315230 PORTO FIRME";93
"315240 POTE";179
"315250 POUSO ALEGRE";1959
"315260 POUSO ALTO";58
"315270 PRADOS";85
"315280 PRATA";358
"315290 PRATAPOLIS";84
"315300 PRATINHA";46
"315310 PRESIDENTE BERNARDES";34
"315320 PRESIDENTE JUSCELINO";36
"315330 PRESIDENTE KUBITSCHEK";36
"315340 PRESIDENTE OLEGARIO";189
"315350 ALTO JEQUITIBA";112
"315360 PRUDENTE DE MORAIS";153
"315370 QUARTEL GERAL";26
"315380 QUELUZITO";16
"315390 RAPOSOS";183
"315400 RAUL SOARES";234
"315410 RECREIO";78
"315415 REDUTO";114
"315420 RESENDE COSTA";115
"315430 RESPLENDOR";219
"315440 RESSAQUINHA";42
"315445 RIACHINHO";82
"315450 RIACHO DOS MACHADOS";117
"315460 RIBEIRAO DAS NEVES";4294
"315470 RIBEIRAO VERMELHO";37
"315480 RIO ACIMA";113
"315490 RIO CASCA";116
"315500 RIO DOCE";28
"315510 RIO DO PRADO";42
"315520 RIO ESPERA";41
"315530 RIO MANSO";40
"315540 RIO NOVO";85
"315550 RIO PARANAIBA";172
"315560 RIO PARDO DE MINAS";383
"315570 RIO PIRACICABA";121
"315580 RIO POMBA";200
"315590 RIO PRETO";54
"315600 RIO VERMELHO";102
"315610 RITAPOLIS";29
"315620 ROCHEDO DE MINAS";18
"315630 RODEIRO";113
"315640 ROMARIA";37
"315645 ROSARIO DA LIMEIRA";49
"315650 RUBELITA";53
"315660 RUBIM";76
"315670 SABARA";1518
"315680 SABINOPOLIS";173
"315690 SACRAMENTO";303
"315700 SALINAS";496
"315710 SALTO DA DIVISA";64
"315720 SANTA BARBARA";376
"315725 SANTA BARBARA DO LESTE";95
"315727 SANTA BARBARA DO MONTE VERDE";23
"315730 SANTA BARBARA DO TUGURIO";31
"315733 SANTA CRUZ DE MINAS";88
"315737 SANTA CRUZ DE SALINAS";45
"315740 SANTA CRUZ DO ESCALVADO";45
"315750 SANTA EFIGENIA DE MINAS";57
"315760 SANTA FE DE MINAS";42
"315765 SANTA HELENA DE MINAS";105
"315770 SANTA JULIANA";220
"315780 SANTA LUZIA";2819
"315790 SANTA MARGARIDA";265
"315800 SANTA MARIA DE ITABIRA";136
"315810 SANTA MARIA DO SALTO";52
"315820 SANTA MARIA DO SUACUI";172
"315830 SANTANA DA VARGEM";67
"315840 SANTANA DE CATAGUASES";28
"315850 SANTANA DE PIRAPAMA";62
"315860 SANTANA DO DESERTO";36
"315870 SANTANA DO GARAMBEU";16
"315880 SANTANA DO JACARE";53
"315890 SANTANA DO MANHUACU";155
"315895 SANTANA DO PARAISO";757
"315900 SANTANA DO RIACHO";65
"315910 SANTANA DOS MONTES";27
"315920 SANTA RITA DE CALDAS";50
"315930 SANTA RITA DE JACUTINGA";47
"315935 SANTA RITA DE MINAS";105
"315940 SANTA RITA DE IBITIPOCA";35
"315950 SANTA RITA DO ITUETO";93
"315960 SANTA RITA DO SAPUCAI";478
"315970 SANTA ROSA DA SERRA";48
"315980 SANTA VITORIA";247
"315990 SANTO ANTONIO DO AMPARO";176
"316000 SANTO ANTONIO DO AVENTUREIRO";39
"316010 SANTO ANTONIO DO GRAMA";45
"316020 SANTO ANTONIO DO ITAMBE";44
"316030 SANTO ANTONIO DO JACINTO";111
"316040 SANTO ANTONIO DO MONTE";370
"316045 SANTO ANTONIO DO RETIRO";79
"316050 SANTO ANTONIO DO RIO ABAIXO";20
"316060 SANTO HIPOLITO";23
"316070 SANTOS DUMONT";425
"316080 SAO BENTO ABADE";73
"316090 SAO BRAS DO SUACUI";38
"316095 SAO DOMINGOS DAS DORES";86
"316100 SAO DOMINGOS DO PRATA";165
"316105 SAO FELIX DE MINAS";38
"316110 SAO FRANCISCO";751
"316120 SAO FRANCISCO DE PAULA";54
"316130 SAO FRANCISCO DE SALES";47
"316140 SAO FRANCISCO DO GLORIA";43
"316150 SAO GERALDO";111
"316160 SAO GERALDO DA PIEDADE";39
"316165 SAO GERALDO DO BAIXIO";36
"316170 SAO GONCALO DO ABAETE";61
"316180 SAO GONCALO DO PARA";148
"316190 SAO GONCALO DO RIO ABAIXO";133
"316200 SAO GONCALO DO SAPUCAI";318
"316210 SAO GOTARDO";707
"316220 SAO JOAO BATISTA DO GLORIA";89
"316225 SAO JOAO DA LAGOA";60
"316230 SAO JOAO DA MATA";33
"316240 SAO JOAO DA PONTE";278
"316245 SAO JOAO DAS MISSOES";269
"316250 SAO JOAO DEL REI";906
"316255 SAO JOAO DO MANHUACU";162
"316257 SAO JOAO DO MANTENINHA";67
"316260 SAO JOAO DO ORIENTE";83
"316265 SAO JOAO DO PACUI";32
"316270 SAO JOAO DO PARAISO";247
"316280 SAO JOAO EVANGELISTA";203
"316290 SAO JOAO NEPOMUCENO";280
"316292 SAO JOAQUIM DE BICAS";436
"316294 SAO JOSE DA BARRA";92
"316295 SAO JOSE DA LAPA";331
"316300 SAO JOSE DA SAFIRA";75
"316310 SAO JOSE DA VARGINHA";36
"316320 SAO JOSE DO ALEGRE";61
"316330 SAO JOSE DO DIVINO";43
"316340 SAO JOSE DO GOIABAL";50
"316350 SAO JOSE DO JACURI";94
"316360 SAO JOSE DO MANTIMENTO";37
"316370 SAO LOURENCO";521
"316380 SAO MIGUEL DO ANTA";59
"316390 SAO PEDRO DA UNIAO";51
"316400 SAO PEDRO DOS FERROS";65
"316410 SAO PEDRO DO SUACUI";40
"316420 SAO ROMAO";93
"316430 SAO ROQUE DE MINAS";89
"316440 SAO SEBASTIAO DA BELA VISTA";91
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";30
"316447 SAO SEBASTIAO DO ANTA";96
"316450 SAO SEBASTIAO DO MARANHAO";102
"316460 SAO SEBASTIAO DO OESTE";151
"316470 SAO SEBASTIAO DO PARAISO";797
"316480 SAO SEBASTIAO DO RIO PRETO";16
"316490 SAO SEBASTIAO DO RIO VERDE";21
"316500 SAO TIAGO";114
"316510 SAO TOMAS DE AQUINO";84
"316520 SAO THOME DAS LETRAS";61
"316530 SAO VICENTE DE MINAS";84
"316540 SAPUCAI-MIRIM";73
"316550 SARDOA";77
"316553 SARZEDO";480
"316555 SETUBINHA";151
"316556 SEM-PEIXE";17
"316557 SENADOR AMARAL";124
"316560 SENADOR CORTES";27
"316570 SENADOR FIRMINO";68
"316580 SENADOR JOSE BENTO";19
"316590 SENADOR MODESTINO GONCALVES";30
"316600 SENHORA DE OLIVEIRA";44
"316610 SENHORA DO PORTO";25
"316620 SENHORA DOS REMEDIOS";100
"316630 SERICITA";120
"316640 SERITINGA";19
"316650 SERRA AZUL DE MINAS";58
"316660 SERRA DA SAUDADE";5
"316670 SERRA DOS AIMORES";106
"316680 SERRA DO SALITRE";187
"316690 SERRANIA";86
"316695 SERRANOPOLIS DE MINAS";37
"316700 SERRANOS";26
"316710 SERRO";245
"316720 SETE LAGOAS";2625
"316730 SILVEIRANIA";31
"316740 SILVIANOPOLIS";45
"316750 SIMAO PEREIRA";32
"316760 SIMONESIA";283
"316770 SOBRALIA";63
"316780 SOLEDADE DE MINAS";57
"316790 TABULEIRO";37
"316800 TAIOBEIRAS";467
"316805 TAPARUBA";44
"316810 TAPIRA";56
"316820 TAPIRAI";11
"316830 TAQUARACU DE MINAS";30
"316840 TARUMIRIM";152
"316850 TEIXEIRAS";107
"316860 TEOFILO OTONI";1816
"316870 TIMOTEO";864
"316880 TIRADENTES";86
"316890 TIROS";97
"316900 TOCANTINS";143
"316905 TOCOS DO MOJI";28
"316910 TOLEDO";69
"316920 TOMBOS";83
"316930 TRES CORACOES";937
"316935 TRES MARIAS";355
"316940 TRES PONTAS";717
"316950 TUMIRITINGA";72
"316960 TUPACIGUARA";229
"316970 TURMALINA";240
"316980 TURVOLANDIA";68
"316990 UBA";1215
"317000 UBAI";176
"317005 UBAPORANGA";139
"317010 UBERABA";3789
"317020 UBERLANDIA";8559
"317030 UMBURATIBA";40
"317040 UNAI";1192
"317043 UNIAO DE MINAS";31
"317047 URUANA DE MINAS";32
"317050 URUCANIA";142
"317052 URUCUIA";106
"317057 VARGEM ALEGRE";71
"317060 VARGEM BONITA";27
"317065 VARGEM GRANDE DO RIO PARDO";55
"317070 VARGINHA";1693
"317075 VARJAO DE MINAS";99
"317080 VARZEA DA PALMA";438
"317090 VARZELANDIA";277
"317100 VAZANTE";235
"317103 VERDELANDIA";121
"317107 VEREDINHA";69
"317110 VERISSIMO";37
"317115 VERMELHO NOVO";48
"317120 VESPASIANO";1685
"317130 VICOSA";926
"317140 VIEIRAS";29
"317150 MATHIAS LOBATO";44
"317160 VIRGEM DA LAPA";122
"317170 VIRGINIA";94
"317180 VIRGINOPOLIS";129
"317190 VIRGOLANDIA";53
"317200 VISCONDE DO RIO BRANCO";469
"317210 VOLTA GRANDE";40
"317220 WENCESLAU BRAZ";27
" MUNICIPIO IGNORADO - ES";1
"320010 AFONSO CLAUDIO";421
"320013 AGUIA BRANCA";120
"320016 AGUA DOCE DO NORTE";160
"320020 ALEGRE";347
"320030 ALFREDO CHAVES";139
"320035 ALTO RIO NOVO";101
"320040 ANCHIETA";389
"320050 APIACA";75
"320060 ARACRUZ";1451
"320070 ATILIO VIVACQUA";145
"320080 BAIXO GUANDU";380
"320090 BARRA DE SAO FRANCISCO";635
"320100 BOA ESPERANCA";166
"320110 BOM JESUS DO NORTE";109
"320115 BREJETUBA";204
"320120 CACHOEIRO DE ITAPEMIRIM";2550
"320130 CARIACICA";5263
"320140 CASTELO";407
"320150 COLATINA";1491
"320160 CONCEICAO DA BARRA";390
"320170 CONCEICAO DO CASTELO";178
"320180 DIVINO DE SAO LOURENCO";59
"320190 DOMINGOS MARTINS";444
"320200 DORES DO RIO PRETO";86
"320210 ECOPORANGA";268
"320220 FUNDAO";271
"320225 GOVERNADOR LINDENBERG";128
"320230 GUACUI";431
"320240 GUARAPARI";1820
"320245 IBATIBA";368
"320250 IBIRACU";147
"320255 IBITIRAMA";130
"320260 ICONHA";118
"320265 IRUPI";179
"320270 ITAGUACU";142
"320280 ITAPEMIRIM";556
"320290 ITARANA";104
"320300 IUNA";446
"320305 JAGUARE";457
"320310 JERONIMO MONTEIRO";150
"320313 JOAO NEIVA";170
"320316 LARANJA DA TERRA";96
"320320 LINHARES";2612
"320330 MANTENOPOLIS";174
"320332 MARATAIZES";539
"320334 MARECHAL FLORIANO";249
"320335 MARILANDIA";146
"320340 MIMOSO DO SUL";307
"320350 MONTANHA";254
"320360 MUCURICI";87
"320370 MUNIZ FREIRE";199
"320380 MUQUI";179
"320390 NOVA VENECIA";655
"320400 PANCAS";225
"320405 PEDRO CANARIO";395
"320410 PINHEIROS";345
"320420 PIUMA";313
"320425 PONTO BELO";94
"320430 PRESIDENTE KENNEDY";203
"320435 RIO BANANAL";289
"320440 RIO NOVO DO SUL";116
"320450 SANTA LEOPOLDINA";117
"320455 SANTA MARIA DE JETIBA";715
"320460 SANTA TERESA";313
"320465 SAO DOMINGOS DO NORTE";105
"320470 SAO GABRIEL DA PALHA";390
"320480 SAO JOSE DO CALCADO";136
"320490 SAO MATEUS";1858
"320495 SAO ROQUE DO CANAA";114
"320500 SERRA";7427
"320501 SOORETAMA";455
"320503 VARGEM ALTA";246
"320506 VENDA NOVA DO IMIGRANTE";338
"320510 VIANA";1008
"320515 VILA PAVAO";104
"320517 VILA VALERIO";211
"320520 VILA VELHA";5934
"320530 VITORIA";3949
" MUNICIPIO IGNORADO - RJ";12
"330010 ANGRA DOS REIS";2146
"330015 APERIBE";126
"330020 ARARUAMA";1657
"330022 AREAL";135
"330023 ARMACAO DOS BUZIOS";665
"330025 ARRAIAL DO CABO";404
"330030 BARRA DO PIRAI";1027
"330040 BARRA MANSA";1838
"330045 BELFORD ROXO";6164
"330050 BOM JARDIM";315
"330060 BOM JESUS DO ITABAPOANA";492
"330070 CABO FRIO";2554
"330080 CACHOEIRAS DE MACACU";644
"330090 CAMBUCI";129
"330093 CARAPEBUS";123
"330095 COMENDADOR LEVY GASPARIAN";113
"330100 CAMPOS DOS GOYTACAZES";6776
"330110 CANTAGALO";212
"330115 CARDOSO MOREIRA";133
"330120 CARMO";196
"330130 CASIMIRO DE ABREU";553
"330140 CONCEICAO DE MACABU";257
"330150 CORDEIRO";226
"330160 DUAS BARRAS";66
"330170 DUQUE DE CAXIAS";11315
"330180 ENGENHEIRO PAULO DE FRONTIN";114
"330185 GUAPIMIRIM";679
"330187 IGUABA GRANDE";312
"330190 ITABORAI";2702
"330200 ITAGUAI";1576
"330205 ITALVA";183
"330210 ITAOCARA";225
"330220 ITAPERUNA";1108
"330225 ITATIAIA";342
"330227 JAPERI";1262
"330230 LAJE DO MURIAE";93
"330240 MACAE";3410
"330245 MACUCO";79
"330250 MAGE";3263
"330260 MANGARATIBA";482
"330270 MARICA";2031
"330280 MENDES";167
"330285 MESQUITA";2037
"330290 MIGUEL PEREIRA";285
"330300 MIRACEMA";337
"330310 NATIVIDADE";169
"330320 NILOPOLIS";1428
"330330 NITEROI";5363
"330340 NOVA FRIBURGO";1945
"330350 NOVA IGUACU";10530
"330360 PARACAMBI";520
"330370 PARAIBA DO SUL";496
"330380 PARATY";565
"330385 PATY DO ALFERES";359
"330390 PETROPOLIS";3292
"330395 PINHEIRAL";300
"330400 PIRAI";321
"330410 PORCIUNCULA";197
"330411 PORTO REAL";265
"330412 QUATIS";138
"330414 QUEIMADOS";2010
"330415 QUISSAMA";313
"330420 RESENDE";1594
"330430 RIO BONITO";681
"330440 RIO CLARO";193
"330450 RIO DAS FLORES";111
"330452 RIO DAS OSTRAS";1851
"330455 RIO DE JANEIRO";68874
"330460 SANTA MARIA MADALENA";91
"330470 SANTO ANTONIO DE PADUA";459
"330475 SAO FRANCISCO DE ITABAPOANA";620
"330480 SAO FIDELIS";423
"330490 SAO GONCALO";9393
"330500 SAO JOAO DA BARRA";544
"330510 SAO JOAO DE MERITI";5082
"330513 SAO JOSE DE UBA";112
"330515 SAO JOSE DO VALE DO RIO PRETO";275
"330520 SAO PEDRO DA ALDEIA";1659
"330530 SAO SEBASTIAO DO ALTO";83
"330540 SAPUCAIA";183
"330550 SAQUAREMA";1120
"330555 SEROPEDICA";1048
"330560 SILVA JARDIM";242
"330570 SUMIDOURO";225
"330575 TANGUA";398
"330580 TERESOPOLIS";2013
"330590 TRAJANO DE MORAES";101
"330600 TRES RIOS";1002
"330610 VALENCA";744
"330615 VARRE-SAI";131
"330620 VASSOURAS";487
"330630 VOLTA REDONDA";2951
" MUNICIPIO IGNORADO - SP";6
"350010 ADAMANTINA";350
"350020 ADOLFO";44
"350030 AGUAI";367
"350040 AGUAS DA PRATA";62
"350050 AGUAS DE LINDOIA";224
"350055 AGUAS DE SANTA BARBARA";72
"350060 AGUAS DE SAO PEDRO";28
"350070 AGUDOS";488
"350075 ALAMBARI";70
"350080 ALFREDO MARCONDES";49
"350090 ALTAIR";37
"350100 ALTINOPOLIS";182
"350110 ALTO ALEGRE";32
"350115 ALUMINIO";222
"350120 ALVARES FLORENCE";29
"350130 ALVARES MACHADO";302
"350140 ALVARO DE CARVALHO";29
"350150 ALVINLANDIA";33
"350160 AMERICANA";2402
"350170 AMERICO BRASILIENSE";410
"350180 AMERICO DE CAMPOS";52
"350190 AMPARO";775
"350200 ANALANDIA";40
"350210 ANDRADINA";650
"350220 ANGATUBA";336
"350230 ANHEMBI";69
"350240 ANHUMAS";38
"350250 APARECIDA";352
"350260 APARECIDA D'OESTE";40
"350270 APIAI";300
"350275 ARACARIGUAMA";316
"350280 ARACATUBA";2109
"350290 ARACOIABA DA SERRA";354
"350300 ARAMINA";56
"350310 ARANDU";85
"350315 ARAPEI";19
"350320 ARARAQUARA";2606
"350330 ARARAS";1423
"350335 ARCO-IRIS";18
"350340 AREALVA";86
"350350 AREIAS";55
"350360 AREIOPOLIS";116
"350370 ARIRANHA";90
"350380 ARTUR NOGUEIRA";623
"350390 ARUJA";1339
"350395 ASPASIA";20
"350400 ASSIS";1028
"350410 ATIBAIA";2005
"350420 AURIFLAMA";128
"350430 AVAI";64
"350440 AVANHANDAVA";130
"350450 AVARE";1136
"350460 BADY BASSITT";355
"350470 BALBINOS";14
"350480 BALSAMO";82
"350490 BANANAL";89
"350500 BARAO DE ANTONINA";49
"350510 BARBOSA";72
"350520 BARIRI";359
"350530 BARRA BONITA";329
"350535 BARRA DO CHAPEU";78
"350540 BARRA DO TURVO";82
"350550 BARRETOS";1404
"350560 BARRINHA";380
"350570 BARUERI";5216
"350580 BASTOS";266
"350590 BATATAIS";673
"350600 BAURU";4282
"350610 BEBEDOURO";782
"350620 BENTO DE ABREU";27
"350630 BERNARDINO DE CAMPOS";105
"350635 BERTIOGA";980
"350640 BILAC";46
"350650 BIRIGUI";1273
"350660 BIRITIBA-MIRIM";360
"350670 BOA ESPERANCA DO SUL";171
"350680 BOCAINA";115
"350690 BOFETE";109
"350700 BOITUVA";753
"350710 BOM JESUS DOS PERDOES";283
"350715 BOM SUCESSO DE ITARARE";64
"350720 BORA";6
"350730 BORACEIA";69
"350740 BORBOREMA";115
"350745 BOREBI";34
"350750 BOTUCATU";1606
"350760 BRAGANCA PAULISTA";2099
"350770 BRAUNA";71
"350775 BREJO ALEGRE";26
"350780 BRODOWSKI";306
"350790 BROTAS";290
"350800 BURI";269
"350810 BURITAMA";154
"350820 BURITIZAL";38
"350830 CABRALIA PAULISTA";40
"350840 CABREUVA";742
"350850 CACAPAVA";1096
"350860 CACHOEIRA PAULISTA";342
"350870 CACONDE";183
"350880 CAFELANDIA";195
"350890 CAIABU";46
"350900 CAIEIRAS";1256
"350910 CAIUA";34
"350920 CAJAMAR";1287
"350925 CAJATI";421
"350930 CAJOBI";87
"350940 CAJURU";315
"350945 CAMPINA DO MONTE ALEGRE";63
"350950 CAMPINAS";12839
"350960 CAMPO LIMPO PAULISTA";883
"350970 CAMPOS DO JORDAO";623
"350980 CAMPOS NOVOS PAULISTA";59
"350990 CANANEIA";168
"350995 CANAS";80
"351000 CANDIDO MOTA";332
"351010 CANDIDO RODRIGUES";21
"351015 CANITAR";89
"351020 CAPAO BONITO";631
"351030 CAPELA DO ALTO";289
"351040 CAPIVARI";608
